# London Strategic Edge - Economic Calendar Data
# Source: londonstrategicedge.com/datasets

event_date,country,event,currency,previous,estimate,actual,change,change_percentage,impact,unit
2023-01-05 15:30:00+00:00,US,4-Week Bill Auction,USD,3.8300,,4.1000,0.2700,7.0500,Low,%
2023-01-05 15:30:00+00:00,US,8-Week Bill Auction,USD,4.2500,,4.4300,0.1800,4.2350,Low,%
2023-01-05 17:20:00+00:00,US,Fed Bullard Speech,USD,,,,,,Medium,
2023-01-05 23:00:00+00:00,US,Total Vehicle Sales (Dec),USD,14.1400,13.5000,13.3100,-0.8300,-5.8700,Low,M
2023-01-06 12:30:00+00:00,US,Average Hourly Earnings MoM (Dec),USD,0.4000,0.4000,0.3000,-0.1000,-25.0000,Medium,%
2023-01-06 12:30:00+00:00,US,Average Hourly Earnings YoY (Dec),USD,4.8000,5.0000,4.6000,-0.2000,-4.1670,Medium,%
2023-01-06 12:30:00+00:00,US,Average Weekly Hours (Dec),USD,34.4000,34.4000,34.3000,-0.1000,-0.2910,Medium,
2023-01-06 12:30:00+00:00,US,Government Payrolls (Dec),USD,54.0000,20.0000,3.0000,-51.0000,-94.4440,Low,K
2023-01-06 12:30:00+00:00,US,Manufacturing Payrolls (Dec),USD,8.0000,10.0000,8.0000,,,Low,K
2023-01-06 12:30:00+00:00,US,Non Farm Payrolls (Dec),USD,256.0000,200.0000,223.0000,-33.0000,-12.8910,High,K
2023-01-06 12:30:00+00:00,US,Nonfarm Payrolls Private (Dec),USD,202.0000,180.0000,220.0000,18.0000,8.9110,Medium,K
2023-01-06 12:30:00+00:00,US,Participation Rate (Dec),USD,62.2000,62.1000,62.3000,0.1000,0.1610,Medium,%
2023-01-06 12:30:00+00:00,US,Unemployment Rate (Dec),USD,3.6000,3.7000,3.5000,-0.1000,-2.7780,High,%
2023-01-06 14:00:00+00:00,US,Factory Orders ex Transportation (Nov),USD,0.1000,-0.4000,-0.8000,-0.9000,-900.0000,Low,%
2023-01-06 14:00:00+00:00,US,Factory Orders MoM (Nov),USD,0.4000,-0.8000,-1.8000,-2.2000,-550.0000,Medium,%
2023-01-06 14:00:00+00:00,US,ISM Non-Manufacturing Business Activity (Dec),USD,64.7000,59.5000,54.7000,-10.0000,-15.4560,Low,
2023-01-06 14:00:00+00:00,US,ISM Non-Manufacturing Employment (Dec),USD,51.5000,50.0000,49.8000,-1.7000,-3.3010,Medium,
2023-01-06 14:00:00+00:00,US,ISM Non-Manufacturing New Orders (Dec),USD,56.0000,54.0000,45.2000,-10.8000,-19.2860,Low,
2023-01-06 14:00:00+00:00,US,ISM Non-Manufacturing PMI (Dec),USD,56.5000,55.0000,49.6000,-6.9000,-12.2120,High,
2023-01-06 14:00:00+00:00,US,ISM Non-Manufacturing Prices (Dec),USD,70.0000,68.0000,67.6000,-2.4000,-3.4290,Low,
2023-01-06 15:15:00+00:00,US,Fed Bostic Speech,USD,,,,,,Medium,
2023-01-06 15:15:00+00:00,US,Fed Cook Speech,USD,,,,,,Medium,
2023-01-06 16:15:00+00:00,US,Fed Barkin Speech,USD,,,,,,Medium,
2023-01-06 17:00:00+00:00,US,Baker Hughes Oil Rig Count (Jan/06),USD,621.0000,,618.0000,-3.0000,-0.4830,Low,
2023-01-09 14:30:00+00:00,US,NY Fed Treasury Purchases 0 to 2.25 yrs,USD,,80.0000,,,,Low,
2023-01-09 15:00:00+00:00,US,Consumer Inflation Expectation (Dec),USD,5.2000,5.2000,5.0000,-0.2000,-3.8460,Low,%
2023-01-09 15:30:00+00:00,US,3-Month Bill Auction,USD,4.4100,,4.5600,0.1500,3.4010,Low,%
2023-01-09 15:30:00+00:00,US,6-Month Bill Auction,USD,4.6350,,4.7100,0.0750,1.6180,Low,%
2023-01-09 16:30:00+00:00,US,Fed Bostic Speech,USD,,,,,,Medium,
2023-01-09 19:00:00+00:00,US,Consumer Credit Change (Nov),USD,29.1200,25.0000,27.9600,-1.1600,-3.9840,Medium,B
2023-01-10 10:00:00+00:00,US,NFIB Business Optimism Index (Dec),USD,91.9000,85.0000,89.8000,-2.1000,-2.2850,Low,
2023-01-10 12:55:00+00:00,US,Redbook YoY (Jan/07),USD,10.2000,,5.3000,-4.9000,-48.0390,Low,%
2023-01-10 13:00:00+00:00,US,Fed Chair Powell Speech,USD,,,,,,Medium,
2023-01-10 14:00:00+00:00,US,IBD/TIPP Economic Optimism (Jan),USD,42.9000,43.0000,42.3000,-0.6000,-1.3990,Low,
2023-01-10 14:00:00+00:00,US,Wholesale Inventories MoM (Nov),USD,0.5000,1.0000,1.0000,0.5000,100.0000,Medium,%
2023-01-10 17:00:00+00:00,US,3-Year Note Auction,USD,4.0930,,3.9770,-0.1160,-2.8340,Low,%
2023-01-10 20:30:00+00:00,US,API Crude Oil Stock Change (Jan/06),USD,3.2980,-2.3750,14.8650,11.5670,350.7280,Low,M
2023-01-11 11:00:00+00:00,US,MBA 30-Year Mortgage Rate (Jan/06),USD,6.5800,,6.4200,-0.1600,-2.4320,Medium,%
2023-01-11 11:00:00+00:00,US,MBA Mortgage Applications (Jan/06),USD,-10.3000,,1.2000,11.5000,111.6500,Medium,%
2023-01-11 11:00:00+00:00,US,MBA Mortgage Market Index (Jan/06),USD,184.5000,,186.7000,2.2000,1.1920,Low,
2023-01-11 11:00:00+00:00,US,MBA Mortgage Refinance Index (Jan/06),USD,310.9000,,326.7000,15.8000,5.0820,Low,
2023-01-11 11:00:00+00:00,US,MBA Purchase Index (Jan/06),USD,160.2000,,159.4000,-0.8000,-0.4990,Low,
2023-01-11 14:30:00+00:00,US,EIA Crude Oil Imports Change (Jan/06),USD,-1.2820,,2.7080,3.9900,311.2320,Low,M
2023-01-11 14:30:00+00:00,US,EIA Crude Oil Stocks Change (Jan/06),USD,1.6940,-2.2430,18.9620,17.2680,1019.3620,Low,M
2023-01-11 14:30:00+00:00,US,EIA Cushing Crude Oil Stocks Change (Jan/06),USD,0.2440,,2.5110,2.2670,929.0980,Low,M
2023-01-11 14:30:00+00:00,US,EIA Distillate Fuel Production Change (Jan/06),USD,-1.0500,,0.5090,1.5590,148.4760,Low,M
2023-01-11 14:30:00+00:00,US,EIA Distillate Stocks Change (Jan/06),USD,-1.4270,-0.4720,-1.0690,0.3580,25.0880,Low,M
2023-01-11 14:30:00+00:00,US,EIA Gasoline Production Change (Jan/06),USD,-1.6780,,0.0670,1.7450,103.9930,Low,M
2023-01-11 14:30:00+00:00,US,EIA Gasoline Stocks Change (Jan/06),USD,-0.3460,1.1860,4.1140,4.4600,1289.0170,Low,M
2023-01-11 14:30:00+00:00,US,EIA Heating Oil Stocks Change (Jan/06),USD,-0.4760,,0.4050,0.8810,185.0840,Low,M
2023-01-11 14:30:00+00:00,US,EIA Refinery Crude Runs Change (Jan/06),USD,-2.3290,,0.8310,3.1600,135.6810,Low,M
2023-01-11 15:30:00+00:00,US,17-Week Bill Auction,USD,4.5700,,4.6800,0.1100,2.4070,Low,%
2023-01-11 17:00:00+00:00,US,10-Year Note Auction,USD,3.6250,,3.5750,-0.0500,-1.3790,Low,%
2023-01-12 12:30:00+00:00,US,Continuing Jobless Claims (Dec/31),USD,1697.0000,1705.0000,1634.0000,-63.0000,-3.7120,Medium,K
2023-01-12 12:30:00+00:00,US,Core Inflation Rate MoM (Dec),USD,0.2000,0.3000,0.3000,0.1000,50.0000,Medium,%
2023-01-12 12:30:00+00:00,US,Core Inflation Rate YoY (Dec),USD,6.0000,5.7000,5.7000,-0.3000,-5.0000,High,%
2023-01-12 12:30:00+00:00,US,CPI (Dec),USD,297.7110,296.7010,296.7970,-0.9140,-0.3070,Medium,
2023-01-12 12:30:00+00:00,US,Inflation Rate MoM (Dec),USD,0.1000,-0.1000,-0.1000,-0.2000,-200.0000,Medium,%
2023-01-12 12:30:00+00:00,US,Inflation Rate YoY (Dec),USD,7.1000,6.5000,6.5000,-0.6000,-8.4510,High,%
2023-01-12 12:30:00+00:00,US,Initial Jobless Claims (Jan/07),USD,206.0000,215.0000,205.0000,-1.0000,-0.4850,Medium,K
2023-01-12 12:30:00+00:00,US,Jobless Claims 4-Week Average (Jan/07),USD,214.2500,214.5000,212.5000,-1.7500,-0.8170,Low,K
2023-01-12 14:30:00+00:00,US,EIA Natural Gas Stocks Change (Jan/06),USD,,,,,,Low,B
2023-01-12 15:30:00+00:00,US,4-Week Bill Auction,USD,4.1000,,4.3700,0.2700,6.5850,Low,%
2023-01-12 15:30:00+00:00,US,8-Week Bill Auction,USD,4.4300,,4.4650,0.0350,0.7900,Low,%
2023-01-12 16:00:00+00:00,US,Quarterly Grain Stocks - Corn (Dec),USD,1.3770,11.1530,10.8090,9.4320,684.9670,Low,B
2023-01-12 16:00:00+00:00,US,Quarterly Grain Stocks - Soy (Dec),USD,0.2740,3.1320,3.0220,2.7480,1002.9200,Low,B
2023-01-12 16:00:00+00:00,US,Quarterly Grain Stocks - Wheat (Dec),USD,1.7760,1.3440,1.2800,-0.4960,-27.9280,Low,B
2023-01-12 16:00:00+00:00,US,WASDE Report,USD,,,,,,Low,
2023-01-12 17:00:00+00:00,US,30-Year Bond Auction,USD,3.5130,,3.5850,0.0720,2.0500,Low,%
2023-01-12 18:00:00+00:00,US,Monthly Budget Statement (Dec),USD,-249.0000,-70.0000,-85.0000,164.0000,65.8630,Medium,B
2023-01-13 11:30:00+00:00,US,Fed Harker Speech,USD,,,,,,Medium,
2023-01-13 12:30:00+00:00,US,Export Prices MoM (Dec),USD,-0.4000,-0.5000,-2.6000,-2.2000,-550.0000,Low,%
2023-01-13 12:30:00+00:00,US,Export Prices YoY (Dec),USD,6.1000,5.6000,5.0000,-1.1000,-18.0330,Low,%
2023-01-13 12:30:00+00:00,US,Import Prices MoM (Dec),USD,-0.7000,-0.9000,0.4000,1.1000,157.1430,Low,%
2023-01-13 12:30:00+00:00,US,Import Prices YoY (Dec),USD,2.7000,2.1000,3.5000,0.8000,29.6300,Low,%
2023-01-13 14:00:00+00:00,US,Michigan 5 Year Inflation Expectations (Jan),USD,2.9000,2.9000,3.0000,0.1000,3.4480,Low,%
2023-01-13 14:00:00+00:00,US,Michigan Consumer Expectations (Jan),USD,59.9000,59.5000,62.0000,2.1000,3.5060,Low,
2023-01-13 14:00:00+00:00,US,Michigan Consumer Sentiment (Jan),USD,59.7000,60.5000,64.6000,4.9000,8.2080,High,
2023-01-13 14:00:00+00:00,US,Michigan Current Conditions (Jan),USD,59.4000,60.0000,68.6000,9.2000,15.4880,Low,
2023-01-13 14:00:00+00:00,US,Michigan Inflation Expectations (Jan),USD,4.4000,4.4000,4.0000,-0.4000,-9.0910,Low,%
2023-01-13 17:00:00+00:00,US,Baker Hughes Oil Rig Count (Jan/13),USD,618.0000,,623.0000,5.0000,0.8090,Low,
2023-01-15 23:00:00+00:00,US,Martin L. King's Birthday,USD,,,,,,Low,
2023-01-17 12:30:00+00:00,US,NY Empire State Manufacturing Index (Jan),USD,-11.2000,-9.0000,-32.9000,-21.7000,-193.7500,Low,
2023-01-17 15:30:00+00:00,US,3-Month Bill Auction,USD,4.5600,,4.5600,,,Low,%
2023-01-17 15:30:00+00:00,US,6-Month Bill Auction,USD,4.7100,,4.6850,-0.0250,-0.5310,Low,%
2023-01-17 19:00:00+00:00,US,Fed Williams Speech,USD,,,,,,Medium,
2023-01-18 11:00:00+00:00,US,MBA 30-Year Mortgage Rate (Jan/13),USD,6.4200,,6.2300,-0.1900,-2.9600,Medium,%
2023-01-18 11:00:00+00:00,US,MBA Mortgage Applications (Jan/13),USD,1.2000,,27.9000,26.7000,2225.0000,Medium,%
2023-01-18 11:00:00+00:00,US,MBA Mortgage Market Index (Jan/13),USD,186.7000,,238.7000,52.0000,27.8520,Low,
2023-01-18 11:00:00+00:00,US,MBA Mortgage Refinance Index (Jan/13),USD,326.7000,,438.3000,111.6000,34.1600,Low,
2023-01-18 11:00:00+00:00,US,MBA Purchase Index (Jan/13),USD,159.4000,,198.7000,39.3000,24.6550,Low,
2023-01-18 12:30:00+00:00,US,Core PPI MoM (Dec),USD,0.2000,0.1000,0.1000,-0.1000,-50.0000,Low,%
2023-01-18 12:30:00+00:00,US,Core PPI YoY (Dec),USD,6.2000,5.7000,5.5000,-0.7000,-11.2900,Low,%
2023-01-18 12:30:00+00:00,US,Producer Price Index MoM (Dec),USD,0.2000,-0.1000,-0.5000,-0.7000,-350.0000,High,%
2023-01-18 12:30:00+00:00,US,Producer Price Index YoY (Dec),USD,7.3000,6.8000,6.2000,-1.1000,-15.0680,Low,%
2023-01-18 12:30:00+00:00,US,Retail Sales Ex Autos MoM (Dec),USD,-0.6000,-0.4000,-1.1000,-0.5000,-83.3330,Medium,%
2023-01-18 12:30:00+00:00,US,Retail Sales Ex Gas/Autos MoM (Dec),USD,-0.5000,-0.1000,-0.7000,-0.2000,-40.0000,Medium,%
2023-01-18 12:30:00+00:00,US,Retail Sales MoM (Dec),USD,-1.0000,-0.8000,-1.1000,-0.1000,-10.0000,High,%
2023-01-18 12:30:00+00:00,US,Retail Sales YoY (Dec),USD,6.0000,5.0000,6.0000,,,Low,%
2023-01-18 12:55:00+00:00,US,Redbook YoY (Jan/14),USD,5.3000,,5.0000,-0.3000,-5.6600,Low,%
2023-01-18 13:00:00+00:00,US,Fed Bostic Speech,USD,,,,,,Medium,
2023-01-18 13:15:00+00:00,US,Capacity Utilization (Dec),USD,79.4000,79.6000,78.8000,-0.6000,-0.7560,Low,%
